hb, dsr, seed, mw, mh, w, h, wl, t
100, 0.15, 1, 454, 454, 454, 454, 207927, 30.35
100, 0.1, 1, 444, 444, 444, 444, 209862, 28.82
200, 0.15, 1, 449, 449, 449, 449, 377376, 131.62
200, 0.1, 1, 439, 439, 439, 439, 386876, 147.72
300, 0.15, 1, 560, 560, 559, 559, 509406, 329.13
300, 0.1, 1, 548, 548, 548, 548, 547409, 321.63
100, 0.15, 2, 454, 454, 453, 454, 207753, 31.98
100, 0.1, 2, 444, 444, 444, 444, 212181, 30.66
200, 0.15, 2, 449, 449, 448, 449, 376167, 141.37
200, 0.1, 2, 439, 439, 439, 439, 387786, 135.69
300, 0.15, 2, 560, 560, 560, 558, 508767, 326.21
300, 0.1, 2, 548, 548, 548, 548, 537690, 333.23
100, 0.15, 3, 454, 454, 454, 454, 207516, 29.71
100, 0.1, 3, 444, 444, 443, 444, 215288, 31
200, 0.15, 3, 449, 449, 448, 449, 375735, 135.81
200, 0.1, 3, 439, 439, 439, 438, 389738, 150.69
300, 0.15, 3, 560, 560, 560, 560, 510717, 353.28
300, 0.1, 3, 548, 548, 548, 548, 541106, 325.79
100, 0.15, 4, 454, 454, 454, 454, 207028, 31.86
100, 0.1, 4, 444, 444, 444, 444, 215408, 31.31
200, 0.15, 4, 449, 449, 447, 449, 375883, 143.99
200, 0.1, 4, 439, 439, 439, 439, 391021, 142.58
300, 0.15, 4, 560, 560, 559, 556, 508791, 332.16
300, 0.1, 4, 548, 548, 548, 548, 548998, 317.47
100, 0.15, 5, 454, 454, 453, 454, 207458, 30.72
100, 0.1, 5, 444, 444, 444, 443, 215194, 30.06
200, 0.15, 5, 449, 449, 449, 448, 377015, 140.16
200, 0.1, 5, 439, 439, 439, 439, 389147, 137.24
300, 0.15, 5, 560, 560, 560, 560, 508599, 327.77
300, 0.1, 5, 548, 548, 548, 548, 544106, 315.68
100, 0.15, 6, 454, 454, 453, 454, 206923, 29.34
100, 0.1, 6, 444, 444, 443, 444, 214851, 29.07
200, 0.15, 6, 449, 449, 449, 449, 378574, 138.02
200, 0.1, 6, 439, 439, 439, 439, 387055, 151.48
300, 0.15, 6, 560, 560, 560, 560, 510276, 311.67
300, 0.1, 6, 548, 548, 548, 548, 550159, 317.11
100, 0.15, 7, 454, 454, 453, 453, 207637, 32.61
100, 0.1, 7, 444, 444, 444, 443, 211260, 31.55
200, 0.15, 7, 449, 449, 449, 447, 379781, 148.16
200, 0.1, 7, 439, 439, 439, 439, 388205, 130.33
300, 0.15, 7, 560, 560, 560, 558, 505878, 322.05
300, 0.1, 7, 548, 548, 548, 548, 540389, 345.29
100, 0.15, 8, 454, 454, 452, 453, 205789, 30.14
100, 0.1, 8, 444, 444, 444, 444, 212223, 30.48
200, 0.15, 8, 449, 449, 448, 448, 377840, 134.47
200, 0.1, 8, 439, 439, 439, 439, 389922, 143.03
300, 0.15, 8, 560, 560, 560, 560, 510498, 319.28
300, 0.1, 8, 548, 548, 548, 548, 539257, 309.34
100, 0.15, 9, 454, 454, 454, 454, 210615, 28.98
100, 0.1, 9, 444, 444, 444, 444, 215667, 27.92
200, 0.15, 9, 449, 449, 449, 448, 379431, 138.49
200, 0.1, 9, 439, 439, 439, 439, 388544, 141.15
300, 0.15, 9, 560, 560, 560, 559, 514942, 324.41
300, 0.1, 9, 548, 548, 548, 548, 551143, 325.09
100, 0.15, 10, 454, 454, 454, 451, 207945, 32.37
100, 0.1, 10, 444, 444, 444, 444, 213985, 29.33
200, 0.15, 10, 449, 449, 448, 449, 373410, 138.17
200, 0.1, 10, 439, 439, 439, 439, 389537, 139.81
300, 0.15, 10, 560, 560, 559, 560, 510036, 314.31
300, 0.1, 10, 548, 548, 548, 548, 533407, 320.59
100, 0.15, 11, 454, 454, 454, 454, 208522, 32.63
100, 0.1, 11, 444, 444, 443, 444, 212761, 29.44
200, 0.15, 11, 449, 449, 449, 448, 379269, 146.05
200, 0.1, 11, 439, 439, 439, 439, 389895, 140.71
300, 0.15, 11, 560, 560, 558, 560, 502408, 330.97
300, 0.1, 11, 548, 548, 548, 548, 546616, 307.07
100, 0.15, 12, 454, 454, 454, 454, 206614, 30.17
100, 0.1, 12, 444, 444, 444, 444, 220176, 32.48
200, 0.15, 12, 449, 449, 449, 448, 376172, 142.92
200, 0.1, 12, 439, 439, 439, 439, 387034, 133.68
300, 0.15, 12, 560, 560, 559, 560, 517484, 311.31
300, 0.1, 12, 548, 548, 548, 548, 540903, 325.67
100, 0.15, 13, 454, 454, 454, 451, 206430, 29.28
100, 0.1, 13, 444, 444, 444, 444, 212245, 31.37
200, 0.15, 13, 449, 449, 449, 448, 374658, 140.18
200, 0.1, 13, 439, 439, 439, 439, 386430, 139.55
300, 0.15, 13, 560, 560, 560, 560, 508805, 310.38
300, 0.1, 13, 548, 548, 548, 547, 549347, 323.25
100, 0.15, 14, 454, 454, 453, 454, 207704, 33.6
100, 0.1, 14, 444, 444, 444, 443, 213760, 29.65
200, 0.15, 14, 449, 449, 447, 449, 374808, 142.03
200, 0.1, 14, 439, 439, 439, 439, 386927, 141.41
300, 0.15, 14, 560, 560, 560, 560, 506778, 318.99
300, 0.1, 14, 548, 548, 548, 548, 544364, 324.27
100, 0.15, 15, 454, 454, 454, 454, 206013, 29.71
100, 0.1, 15, 444, 444, 444, 444, 219068, 29.72
200, 0.15, 15, 449, 449, 448, 449, 378935, 142.22
200, 0.1, 15, 439, 439, 439, 439, 390041, 140.29
300, 0.15, 15, 560, 560, 560, 560, 507142, 329.46
300, 0.1, 15, 548, 548, 548, 548, 552533, 322.5
100, 0.15, 16, 454, 454, 454, 451, 208176, 29.21
100, 0.1, 16, 444, 444, 444, 444, 215525, 34.42
200, 0.15, 16, 449, 449, 449, 449, 379505, 142.71
200, 0.1, 16, 439, 439, 439, 439, 387288, 140.39
300, 0.15, 16, 560, 560, 560, 560, 512531, 323.87
300, 0.1, 16, 548, 548, 548, 548, 542719, 324.7
100, 0.15, 17, 454, 454, 454, 453, 211243, 31.55
100, 0.1, 17, 444, 444, 444, 444, 218669, 29.92
200, 0.15, 17, 449, 449, 448, 449, 373820, 149.19
200, 0.1, 17, 439, 439, 439, 439, 390004, 142.57
300, 0.15, 17, 560, 560, 560, 560, 514458, 309.88
300, 0.1, 17, 548, 548, 548, 548, 542786, 324.64
100, 0.15, 18, 454, 454, 454, 454, 208355, 32.73
100, 0.1, 18, 444, 444, 444, 444, 214130, 32.15
200, 0.15, 18, 449, 449, 449, 447, 375832, 141.15
200, 0.1, 18, 439, 439, 439, 439, 386713, 142.2
300, 0.15, 18, 560, 560, 556, 558, 510634, 307.63
300, 0.1, 18, 548, 548, 548, 548, 541907, 323.73
100, 0.15, 19, 454, 454, 452, 452, 210036, 30.9
100, 0.1, 19, 444, 444, 444, 443, 213158, 31.47
200, 0.15, 19, 449, 449, 449, 448, 376799, 139.77
200, 0.1, 19, 439, 439, 439, 439, 388481, 138.07
300, 0.15, 19, 560, 560, 559, 558, 509267, 325.53
300, 0.1, 19, 548, 548, 548, 548, 536417, 338.22
100, 0.15, 20, 454, 454, 454, 451, 210466, 31.16
100, 0.1, 20, 444, 444, 444, 444, 215330, 31.28
200, 0.15, 20, 449, 449, 449, 448, 376526, 144.67
200, 0.1, 20, 439, 439, 439, 439, 387075, 139.86
300, 0.15, 20, 560, 560, 558, 560, 509523, 322.85
300, 0.1, 20, 548, 548, 548, 548, 544912, 325.48
100, 0.15, 21, 454, 454, 453, 454, 207430, 31.45
100, 0.1, 21, 444, 444, 444, 444, 214348, 29.69
200, 0.15, 21, 449, 449, 448, 448, 376502, 142.25
200, 0.1, 21, 439, 439, 439, 439, 386567, 143.09
300, 0.15, 21, 560, 560, 559, 560, 509776, 315.88
300, 0.1, 21, 548, 548, 548, 548, 544174, 321.17
100, 0.15, 22, 454, 454, 453, 452, 204057, 31.72
100, 0.1, 22, 444, 444, 444, 444, 216535, 30.79
200, 0.15, 22, 449, 449, 449, 448, 375049, 140.29
200, 0.1, 22, 439, 439, 439, 439, 393643, 143.23
300, 0.15, 22, 560, 560, 560, 558, 509143, 332.96
300, 0.1, 22, 548, 548, 548, 548, 536108, 323.75
100, 0.15, 23, 454, 454, 453, 450, 208414, 30.31
100, 0.1, 23, 444, 444, 444, 444, 216102, 30.89
200, 0.15, 23, 449, 449, 449, 449, 375688, 146.17
200, 0.1, 23, 439, 439, 439, 439, 385664, 159.29
300, 0.15, 23, 560, 560, 559, 559, 502902, 323.71
300, 0.1, 23, 548, 548, 548, 548, 548760, 323.08
100, 0.15, 24, 454, 454, 454, 454, 209765, 29.21
100, 0.1, 24, 444, 444, 444, 444, 217521, 29.69
200, 0.15, 24, 449, 449, 449, 449, 378662, 141.84
200, 0.1, 24, 439, 439, 439, 439, 387818, 140.87
300, 0.15, 24, 560, 560, 560, 560, 510799, 330.78
300, 0.1, 24, 548, 548, 548, 548, 553526, 314.85
100, 0.15, 25, 454, 454, 453, 448, 207668, 29.36
100, 0.1, 25, 444, 444, 444, 443, 213786, 28.65
200, 0.15, 25, 449, 449, 449, 447, 372608, 148
200, 0.1, 25, 439, 439, 439, 439, 391273, 148.15
300, 0.15, 25, 560, 560, 560, 559, 509184, 322.73
300, 0.1, 25, 548, 548, 548, 548, 541266, 313.51
100, 0.15, 26, 454, 454, 452, 454, 205198, 29.71
100, 0.1, 26, 444, 444, 444, 444, 216595, 38.16
200, 0.15, 26, 449, 449, 449, 447, 377791, 141.42
200, 0.1, 26, 439, 439, 439, 439, 388610, 144.66
300, 0.15, 26, 560, 560, 560, 558, 508298, 321.56
300, 0.1, 26, 548, 548, 548, 548, 545209, 322.85
100, 0.15, 27, 454, 454, 454, 454, 207332, 30.4
100, 0.1, 27, 444, 444, 443, 443, 213567, 32.02
200, 0.15, 27, 449, 449, 447, 449, 372736, 143.44
200, 0.1, 27, 439, 439, 439, 439, 390001, 141.62
300, 0.15, 27, 560, 560, 560, 560, 509702, 333.42
300, 0.1, 27, 548, 548, 548, 548, 547051, 331.48
100, 0.15, 28, 454, 454, 452, 454, 209347, 32
100, 0.1, 28, 444, 444, 444, 444, 214111, 27.88
200, 0.15, 28, 449, 449, 446, 449, 378075, 132.39
200, 0.1, 28, 439, 439, 439, 439, 387437, 142.28
300, 0.15, 28, 560, 560, 560, 560, 514640, 324.46
300, 0.1, 28, 548, 548, 548, 548, 553128, 321.77
100, 0.15, 29, 454, 454, 453, 452, 206961, 32.43
100, 0.1, 29, 444, 444, 444, 444, 215204, 33.15
200, 0.15, 29, 449, 449, 449, 449, 379379, 137.04
200, 0.1, 29, 439, 439, 439, 439, 387356, 143.47
300, 0.15, 29, 560, 560, 559, 559, 512179, 333.39
300, 0.1, 29, 548, 548, 548, 548, 536873, 322.83
100, 0.15, 30, 454, 454, 453, 454, 206870, 29.42
100, 0.1, 30, 444, 444, 443, 443, 211585, 29.27
200, 0.15, 30, 449, 449, 447, 449, 376041, 147.12
200, 0.1, 30, 439, 439, 439, 439, 387115, 138.77
300, 0.15, 30, 560, 560, 559, 557, 508413, 319.76
300, 0.1, 30, 548, 548, 548, 548, 551862, 328.06
100, 0.15, 31, 454, 454, 452, 454, 206179, 33.07
100, 0.1, 31, 444, 444, 444, 444, 214671, 28.98
200, 0.15, 31, 449, 449, 448, 448, 375118, 136.14
200, 0.1, 31, 439, 439, 439, 438, 387187, 138.36
300, 0.15, 31, 560, 560, 560, 560, 510042, 317.5
300, 0.1, 31, 548, 548, 548, 548, 544290, 314.45
100, 0.15, 32, 454, 454, 454, 452, 207532, 32.42
100, 0.1, 32, 444, 444, 444, 444, 214103, 29.72
200, 0.15, 32, 449, 449, 447, 449, 378105, 139.33
200, 0.1, 32, 439, 439, 439, 439, 392492, 143
300, 0.15, 32, 560, 560, 560, 560, 510188, 328.97
300, 0.1, 32, 548, 548, 548, 548, 546485, 329.65
100, 0.15, 33, 454, 454, 451, 454, 206884, 31.93
100, 0.1, 33, 444, 444, 444, 444, 217605, 30.32
200, 0.15, 33, 449, 449, 449, 449, 382389, 138.27
200, 0.1, 33, 439, 439, 439, 439, 385245, 145.25
300, 0.15, 33, 560, 560, 557, 557, 513609, 326.16
300, 0.1, 33, 548, 548, 548, 548, 540401, 311.79
100, 0.15, 34, 454, 454, 454, 454, 209086, 30.52
100, 0.1, 34, 444, 444, 444, 444, 215218, 32.17
200, 0.15, 34, 449, 449, 449, 449, 375759, 144.89
200, 0.1, 34, 439, 439, 439, 439, 384854, 138.47
300, 0.15, 34, 560, 560, 560, 558, 505966, 332.5
300, 0.1, 34, 548, 548, 548, 548, 541298, 326.47
100, 0.15, 35, 454, 454, 453, 454, 208527, 31.33
100, 0.1, 35, 444, 444, 444, 442, 213870, 30.87
200, 0.15, 35, 449, 449, 449, 447, 380511, 146.17
200, 0.1, 35, 439, 439, 438, 439, 385137, 145.27
300, 0.15, 35, 560, 560, 560, 560, 510083, 334.38
300, 0.1, 35, 548, 548, 548, 548, 542980, 319.83
100, 0.15, 36, 454, 454, 453, 452, 206685, 32.33
100, 0.1, 36, 444, 444, 444, 444, 213728, 30.19
200, 0.15, 36, 449, 449, 448, 449, 375951, 145.01
200, 0.1, 36, 439, 439, 439, 439, 388213, 138.14
300, 0.15, 36, 560, 560, 560, 559, 510900, 327.14
300, 0.1, 36, 548, 548, 548, 548, 543697, 341.55
100, 0.15, 37, 454, 454, 453, 454, 206747, 32.3
100, 0.1, 37, 444, 444, 444, 444, 214312, 30.67
200, 0.15, 37, 449, 449, 448, 449, 379249, 140.85
200, 0.1, 37, 439, 439, 439, 437, 389363, 146.65
300, 0.15, 37, 560, 560, 560, 558, 509748, 315.18
300, 0.1, 37, 548, 548, 548, 548, 543107, 325.31
100, 0.15, 38, 454, 454, 453, 453, 207883, 30.97
100, 0.1, 38, 444, 444, 444, 444, 213610, 30.06
200, 0.15, 38, 449, 449, 449, 448, 377871, 149.66
200, 0.1, 38, 439, 439, 439, 439, 387056, 146.37
300, 0.15, 38, 560, 560, 560, 558, 505552, 312.26
300, 0.1, 38, 548, 548, 548, 548, 550577, 326.76
100, 0.15, 39, 454, 454, 453, 454, 204581, 30.07
100, 0.1, 39, 444, 444, 443, 444, 213236, 29.84
200, 0.15, 39, 449, 449, 449, 448, 378426, 144.53
200, 0.1, 39, 439, 439, 439, 439, 386709, 144.59
300, 0.15, 39, 560, 560, 560, 558, 508024, 330.93
300, 0.1, 39, 548, 548, 548, 548, 539661, 321.64
100, 0.15, 40, 454, 454, 452, 454, 208183, 31.5
100, 0.1, 40, 444, 444, 443, 444, 217235, 30.65
200, 0.15, 40, 449, 449, 449, 448, 378647, 144.27
200, 0.1, 40, 439, 439, 439, 439, 387853, 141.05
300, 0.15, 40, 560, 560, 560, 559, 512379, 333.92
300, 0.1, 40, 548, 548, 548, 548, 539755, 310.89
100, 0.15, 41, 454, 454, 453, 453, 206278, 31.13
100, 0.1, 41, 444, 444, 444, 444, 216964, 32.08
200, 0.15, 41, 449, 449, 449, 449, 374481, 140.51
200, 0.1, 41, 439, 439, 439, 439, 388735, 143.37
300, 0.15, 41, 560, 560, 560, 557, 511247, 323.89
300, 0.1, 41, 548, 548, 548, 548, 535980, 331.78
100, 0.15, 42, 454, 454, 453, 454, 206190, 32.6
100, 0.1, 42, 444, 444, 443, 444, 209466, 30.07
200, 0.15, 42, 449, 449, 449, 449, 381058, 135.72
200, 0.1, 42, 439, 439, 439, 439, 386560, 139.24
300, 0.15, 42, 560, 560, 560, 559, 514228, 327.88
300, 0.1, 42, 548, 548, 548, 548, 552786, 316.77
100, 0.15, 43, 454, 454, 454, 452, 207793, 32.18
100, 0.1, 43, 444, 444, 444, 444, 213845, 31.9
200, 0.15, 43, 449, 449, 449, 448, 380976, 137.52
200, 0.1, 43, 439, 439, 439, 439, 386409, 141.23
300, 0.15, 43, 560, 560, 559, 560, 515715, 333.39
300, 0.1, 43, 548, 548, 548, 548, 548189, 327.25
100, 0.15, 44, 454, 454, 453, 453, 209246, 29.08
100, 0.1, 44, 444, 444, 444, 444, 216472, 31.33
